iso3c,country,gtap11,gtap11_name,gtap12,gtap12_name
CUB,Cuba,xcb,Caribbean,xcb,Caribbean
CUW,Curacao,xcb,Caribbean,xcb,Caribbean
CXR,Christmas Island,aus,Australia,aus,Australia
CYM,Cayman Islands,xcb,Caribbean,xcb,Caribbean
CYP,Cyprus,cyp,Cyprus,cyp,Cyprus
CZE,Czechia,cze,Czech Republic,cze,Czech Republic
DEU,Germany,deu,Germany,deu,Germany
DJI,Djibouti,xec,Rest of Eastern Africa,xec,Rest of Eastern Africa
DMA,Dominica,xcb,Caribbean,xcb,Caribbean
DNK,Denmark,dnk,Denmark,dnk,Denmark
DOM,Dominican Republic,dom,Dominican Republic,dom,Dominican Republic
DZA,Algeria,xnf,Rest of North Africa,xnf,Rest of North Africa
ECU,Ecuador,ecu,Ecuador,ecu,Ecuador
EGY,Egypt,egy,Egypt,egy,Egypt
ERI,Eritrea,xec,Rest of Eastern Africa,xec,Rest of Eastern Africa
ESH,Western Sahara,xnf,Rest of North Africa,xnf,Rest of North Africa
ESP,Spain,esp,Spain,esp,Spain
EST,Estonia,est,Estonia,est,Estonia
ETH,Ethiopia,eth,Ethiopia,eth,Ethiopia
FIN,Finland,fin,Finland,fin,Finland
FJI,Fiji,xoc,Rest of Oceania,xoc,Rest of Oceania
FLK,Falkland Islands (Malvinas),xsm,Rest of South America,xsm,Rest of South America
FRA,France,fra,France,fra,France
FRO,Faroe Islands,xer,Rest of Europe,xer,Rest of Europe
FSM,Micronesia (Federated States of),xoc,Rest of Oceania,xoc,Rest of Oceania
GAB,Gabon,xcf,Central Africa,xcf,Central Africa
GBR,United Kingdom of Great Britain and Northern Irela,gbr,United Kingdom,gbr,United Kingdom
GEO,Georgia,geo,Georgia,geo,Georgia
GGY,Guernsey,xer,Rest of Europe,xer,Rest of Europe
GHA,Ghana,gha,Ghana,gha,Ghana
GIB,Gibraltar,xer,Rest of Europe,xer,Rest of Europe
GIN,Guinea,gin,Guinea,gin,Guinea
GLP,Guadeloupe,fra,France,fra,France
GMB,Gambia,xwf,Rest of Western Africa,xwf,Rest of Western Africa
GNB,Guinea-Bissau,xwf,Rest of Western Africa,xwf,Rest of Western Africa
GNQ,Equatorial Guinea,xcf,Central Africa,xcf,Central Africa
GRC,Greece,grc,Greece,grc,Greece
GRD,Grenada,xcb,Caribbean,xcb,Caribbean
GRL,Greenland,xna,Rest of North America,xna,Rest of North America
GTM,Guatemala,gtm,Guatemala,gtm,Guatemala
GUF,French Guiana,xsm,Rest of South America,xsm,Rest of South America
GUM,Guam,xoc,Rest of Oceania,xoc,Rest of Oceania
GUY,Guyana,xsm,Rest of South America,xsm,Rest of South America
HKG,Hong Kong (China),hkg,Hong Kong,hkg,Hong Kong
HMD,Heard Island and McDonald Islands,aus,Australia,aus,Australia
HND,Honduras,hnd,Honduras,hnd,Honduras
HRV,Croatia,hrv,Croatia,hrv,Croatia
HTI,Haiti,xcb,Caribbean,xcb,Caribbean
HUN,Hungary,hun,Hungary,hun,Hungary
IDN,Indonesia,idn,Indonesia,idn,Indonesia
IMN,Isle of Man,xer,Rest of Europe,xer,Rest of Europe
IND,India,ind,India,ind,India
IOT,British Indian Ocean Territory,xtw,Rest of the World,xtw,Rest of the World
IRL,Ireland,irl,Ireland,irl,Ireland
IRN,Iran (Islamic Republic of),irn,Iran Islamic Republic of,irn,Iran Islamic Republic of
IRQ,Iraq,xws,Rest of Western Asia,xws,Rest of Western Asia
ISL,Iceland,xef,Rest of EFTA,xef,Rest of EFTA
ISR,Israel,isr,Israel,isr,Israel
ITA,Italy,ita,Italy,ita,Italy
JAM,Jamaica,jam,Jamaica,jam,Jamaica
JEY,Jersey,xer,Rest of Europe,xer,Rest of Europe
JOR,Jordan,jor,Jordan,jor,Jordan
JPN,Japan,jpn,Japan,jpn,Japan
KAZ,Kazakhstan,kaz,Kazakhstan,kaz,Kazakhstan
KEN,Kenya,ken,Kenya,ken,Kenya
KGZ,Kyrgyzstan,kgz,Kyrgyzstan,kgz,Kyrgyzstan
KHM,Cambodia,khm,Cambodia,khm,Cambodia
KIR,Kiribati,xoc,Rest of Oceania,xoc,Rest of Oceania
KNA,Saint Kitts and Nevis,xcb,Caribbean,xcb,Caribbean
KOR,Republic of Korea,kor,Korea,kor,Korea
KWT,Kuwait,kwt,Kuwait,kwt,Kuwait
LAO,Lao People's Democratic Republic,lao,Lao People's Democratic Republ,lao,Lao People's Democratic Republ
LBN,Lebanon,xws,Rest of Western Asia,xws,Rest of Western Asia
LBR,Liberia,xwf,Rest of Western Africa,xwf,Rest of Western Africa
LBY,Libya,xnf,Rest of North Africa,xnf,Rest of North Africa
LCA,Saint Lucia,xcb,Caribbean,xcb,Caribbean
LIE,Liechtenstein,xef,Rest of EFTA,xef,Rest of EFTA
LKA,Sri Lanka,lka,Sri Lanka,lka,Sri Lanka
LSO,Lesotho,xsc,Rest of South African Customs,xsc,Rest of South African Customs
LTU,Lithuania,ltu,Lithuania,ltu,Lithuania
LUX,Luxembourg,lux,Luxembourg,lux,Luxembourg
LVA,Latvia,lva,Latvia,lva,Latvia
MAC,Macao (China),xea,Rest of East Asia,xea,Rest of East Asia
MAF,Saint Martin (French Part),xcb,Caribbean,xcb,Caribbean
MAR,Morocco,mar,Morocco,mar,Morocco
MCO,Monaco,xer,Rest of Europe,xer,Rest of Europe
MDA,Republic of Moldova,xee,Rest of Eastern Europe,xee,Rest of Eastern Europe
MDG,Madagascar,mdg,Madagascar,mdg,Madagascar
MDV,Maldives,xsa,Rest of South Asia,xsa,Rest of South Asia
MEX,Mexico,mex,Mexico,mex,Mexico
MHL,Marshall Islands,xoc,Rest of Oceania,xoc,Rest of Oceania
MKD,North Macedonia,xer,Rest of Europe,xer,Rest of Europe
MLI,Mali,xwf,Rest of Western Africa,xwf,Rest of Western Africa
MLT,Malta,mlt,Malta,mlt,Malta
MMR,Myanmar,xse,Rest of Southeast Asia,xse,Rest of Southeast Asia
MNE,Montenegro,xer,Rest of Europe,xer,Rest of Europe
MNG,Mongolia,mng,Mongolia,mng,Mongolia
MNP,Northern Mariana Islands,xoc,Rest of Oceania,xoc,Rest of Oceania
MOZ,Mozambique,moz,Mozambique,moz,Mozambique
MRT,Mauritania,xwf,Rest of Western Africa,mrt,Mauritania
MSR,Montserrat,xcb,Caribbean,xcb,Caribbean
MTQ,Martinique,fra,France,fra,France
MUS,Mauritius,mus,Mauritius,mus,Mauritius
MWI,Malawi,mwi,Malawi,mwi,Malawi
MYS,Malaysia,mys,Malaysia,mys,Malaysia
MYT,Mayotte,xec,Rest of Eastern Africa,xec,Rest of Eastern Africa
NAM,Namibia,nam,Namibia,nam,Namibia
NCL,New Caledonia,xoc,Rest of Oceania,xoc,Rest of Oceania
NER,Niger,xwf,Rest of Western Africa,xwf,Rest of Western Africa
NFK,Norfolk Island,aus,Australia,aus,Australia
NGA,Nigeria,nga,Nigeria,nga,Nigeria
NIC,Nicaragua,nic,Nicaragua,nic,Nicaragua
NIU,Niue,xoc,Rest of Oceania,xoc,Rest of Oceania
NLD,Netherlands,nld,Netherlands,nld,Netherlands
NOR,Norway,nor,Norway,nor,Norway
NPL,Nepal,npl,Nepal,npl,Nepal
NRU,Nauru,xoc,Rest of Oceania,xoc,Rest of Oceania
NZL,New Zealand,nzl,New Zealand,nzl,New Zealand
OMN,Oman,omn,Oman,omn,Oman
PAK,Pakistan,pak,Pakistan,pak,Pakistan
PAN,Panama,pan,Panama,pan,Panama
PCN,Pitcairn,xoc,Rest of Oceania,xoc,Rest of Oceania
PER,Peru,per,Peru,per,Peru
PHL,Philippines,phl,Philippines,phl,Philippines
PLW,Palau,xoc,Rest of Oceania,xoc,Rest of Oceania
PNG,Papua New Guinea,xoc,Rest of Oceania,xoc,Rest of Oceania
POL,Poland,pol,Poland,pol,Poland
PRI,Puerto Rico,pri,Puerto Rico,pri,Puerto Rico
PRK,Democratic People's Republic of Korea,xea,Rest of East Asia,xea,Rest of East Asia
PRT,Portugal,prt,Portugal,prt,Portugal
PRY,Paraguay,pry,Paraguay,pry,Paraguay
PSE,State of Palestine,xws,Rest of Western Asia,xws,Rest of Western Asia
PYF,French Polynesia,xoc,Rest of Oceania,xoc,Rest of Oceania
QAT,Qatar,qat,Qatar,qat,Qatar
REU,Reunion,fra,France,fra,France
ROU,Romania,rou,Romania,rou,Romania
RUS,Russian Federation,rus,Russian Federation,rus,Russian Federation
RWA,Rwanda,rwa,Rwanda,rwa,Rwanda
SAR,Sark,xer,Rest of Europe,xer,Rest of Europe
SAU,Saudi Arabia,sau,Saudi Arabia,sau,Saudi Arabia
SDN,Sudan,xec,Rest of Eastern Africa,xec,Rest of Eastern Africa
SEN,Senegal,sen,Senegal,sen,Senegal
SGP,Singapore,sgp,Singapore,sgp,Singapore
SGS,South Georgia and the South Sandwich Islands,xsm,Rest of South America,xsm,Rest of South America
SHN,Saint Helena,xwf,Rest of Western Africa,xwf,Rest of Western Africa
SJM,Svalbard and Jan Mayen Islands,nor,Norway,nor,Norway
SLB,Solomon Islands,xoc,Rest of Oceania,xoc,Rest of Oceania
SLE,Sierra Leone,xwf,Rest of Western Africa,xwf,Rest of Western Africa
SLV,El Salvador,slv,El Salvador,slv,El Salvador
SMR,San Marino,xer,Rest of Europe,xer,Rest of Europe
SOM,Somalia,xec,Rest of Eastern Africa,xec,Rest of Eastern Africa
SPM,Saint Pierre and Miquelon,xna,Rest of North America,xna,Rest of North America
SRB,Serbia,xer,Rest of Europe,xer,Rest of Europe
SSD,South Sudan,xec,Rest of Eastern Africa,xec,Rest of Eastern Africa
STP,Sao Tome and Principe,xcf,Central Africa,stp,Sao Tome and Principe
SUR,Suriname,xsm,Rest of South America,xsm,Rest of South America
SVK,Slovakia,svk,Slovakia,svk,Slovakia
SVN,Slovenia,svn,Slovenia,svn,Slovenia
SWE,Sweden,swe,Sweden,swe,Sweden
SWZ,Eswatini,xsc,Rest of South African Customs,xsc,Rest of South African Customs
SXM,Sint Maarten (Dutch part),xcb,Caribbean,xcb,Caribbean
SYC,Seychelles,xec,Rest of Eastern Africa,xec,Rest of Eastern Africa
SYR,Syrian Arab Republic,xws,Rest of Western Asia,xws,Rest of Western Asia
TCA,Turks and Caicos Islands,xcb,Caribbean,xcb,Caribbean
TCD,Chad,xcf,Central Africa,xcf,Central Africa
TGO,Togo,tgo,Togo,tgo,Togo
THA,Thailand,tha,Thailand,tha,Thailand
TJK,Tajikistan,tjk,Tajikistan,tjk,Tajikistan
TKL,Tokelau,xoc,Rest of Oceania,xoc,Rest of Oceania
TKM,Turkmenistan,xsu,Rest of Former Soviet Union,xsu,Rest of Former Soviet Union
TLS,Timor-Leste,xse,Rest of Southeast Asia,xse,Rest of Southeast Asia
TON,Tonga,xoc,Rest of Oceania,xoc,Rest of Oceania
TTO,Trinidad and Tobago,tto,Trinidad and Tobago,tto,Trinidad and Tobago
TUN,Tunisia,tun,Tunisia,tun,Tunisia
TUR,Turkey,tur,Turkey,tur,Turkey
TUV,Tuvalu,xoc,Rest of Oceania,xoc,Rest of Oceania
TWN,Taiwan,twn,Taiwan,twn,Taiwan
TZA,United Republic of Tanzania,tza,Tanzania,tza,Tanzania
UGA,Uganda,uga,Uganda,uga,Uganda
UKR,Ukraine,ukr,Ukraine,ukr,Ukraine
UMI,United States Minor Outlying Islands,xoc,Rest of Oceania,xoc,Rest of Oceania
URY,Uruguay,ury,Uruguay,ury,Uruguay
USA,United States of America,usa,United States of America,usa,United States of America
UZB,Uzbekistan,xsu,Rest of Former Soviet Union,xsu,Rest of Former Soviet Union
VAT,Holy See,xer,Rest of Europe,xer,Rest of Europe
VCT,Saint Vincent and the Grenadines,xcb,Caribbean,xcb,Caribbean
VEN,Venezuela (Bolivarian Republic of),ven,Venezuela,ven,Venezuela
VGB,British Virgin Islands,xcb,Caribbean,xcb,Caribbean
VIR,United States Virgin Islands,xcb,Caribbean,xcb,Caribbean
VNM,Viet Nam,vnm,Viet Nam,vnm,Viet Nam
VUT,Vanuatu,xoc,Rest of Oceania,xoc,Rest of Oceania
WLF,Wallis and Futuna Islands,xoc,Rest of Oceania,xoc,Rest of Oceania
WSM,Samoa,xoc,Rest of Oceania,xoc,Rest of Oceania
XKX,Kosovo,xer,Rest of Europe,xer,Rest of Europe
YEM,Yemen,xws,Rest of Western Asia,xws,Rest of Western Asia
ZAF,South Africa,zaf,South Africa,zaf,South Africa
ZMB,Zambia,zmb,Zambia,zmb,Zambia
ZWE,Zimbabwe,zwe,Zimbabwe,zwe,Zimbabwe
